Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,Total _Years_of _Professional_Experience,Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
35-44,EDUCATION (HIGHER EDUCATION),Repository Manager,48000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Research Associate,54000,0,USD,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,8 - 10 years,College Degree,Woman
35-44,RESEARCH,Research Coordinator,43000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Research Coordinator,55000,0,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,Master'S Degree,Woman
25-34,RESEARCH AT A NATIONAL LABORATORY,Research Scientist,90000,0,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,PH.D.,Woman
25-34,EDUCATION (HIGHER EDUCATION),Resident Director,45100,2000,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,Master'S Degree,Man
25-34,ENGINEERING OR MANUFACTURING,Resource Manager,128203,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Woman
45-54,ENGINEERING OR MANUFACTURING,Sales Analyst I,82702,2700,USD,NA,United States,Pennsylvania,Pittsburgh,21 - 30 years,5-7 years,College Degree,Woman
35-44,BUSINESS OR CONSULTING,Sales Solution Architect,65000,6500,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Scholarly Communication Specialist,38100,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Man
35-44,EDUCATION (HIGHER EDUCATION),School Counselor,98000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,Master'S Degree,Man
25-34,UNIVERSITY TECH TRANSFER (HIGHER ED/MARKETING/WRITING),Science Writer/Technology Marketing Associate,36000,0,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,College Degree,Woman
55-64,COMPUTING OR TECH,Scrum Master,110000,0,USD,NA,United States,Pennsylvania,Pittsburgh,31 - 40 years,11 - 20 years,Master'S Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Senior Accounting Manager,127000,25000,USD,NA,United States,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,College Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Senior BSA Analyst,48900,2000,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,College Degree,Woman
45-54,BUSINESS OR CONSULTING,Senior Business Analyst,156000,1000,USD,NA,United States,Pennsylvania,Pittsburgh,21 - 30 years,11 - 20 years,Some College,Man
35-44,"ACCOUNTING, BANKING & FINANCE",Senior Client Accout Administrator,54000,6000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,Master'S Degree,Other \ prefer not to answer
35-44,COMPUTING OR TECH,Senior Data Engineer,115000,15000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Senior Data Engineer,121000,15000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Senior Database Administrator,106000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Woman
45-54,ENGINEERING OR MANUFACTURING,Senior Environmental Manager,125000,3500,USD,NA,United States,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,College Degree,Man
35-44,"ACCOUNTING, BANKING & FINANCE",Senior Legal Counsel,175000,15000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,"Professional Degree (MD, Jd, Etc.)",Woman
45-54,COMPUTING OR TECH,Senior Manager,175000,5000,USD,NA,United States,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,Master'S Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Senior Manager,120000,18000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Senior Manager - Marketing,100000,6000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Senior Planner,64000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Senior Program Manager,170000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,HEALTH CARE,Senior Project Manager,96000,6000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Senior Prospect Research Associate,49100,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,College Degree,Woman
35-44,HYBRID NONPROFIT HIGHER EDUCATION (WE ARE PART OF A UNIVERSITY BUT OUR ENTIRE BUDGET COMES FROM GRANTS),Senior Research Coordinator,49500,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,2 - 4 years,Master'S Degree,Woman
35-44,BUSINESS OR CONSULTING,Senior Scientist,112000,5000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Senior Software Consultant,129000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Senior Software Engineer,120000,5000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,BUSINESS OR CONSULTING,Senior Technical Business Analyst,120000,10000,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,Master'S Degree,Man
35-44,HEALTH CARE,Senior Technical Writer,91000,9100,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,College Degree,Man
45-54,COMPUTING OR TECH,Software Application Development Advisor,140000,10000,USD,NA,United States,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,Master'S Degree,Woman
18-24,MEDIA & DIGITAL,Software Developer,68000,4000,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,College Degree,Non-binary
55-64,COMPUTING OR TECH,Software Engineer,130000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,31 - 40 years,21 - 30 years,Master'S Degree,Man
25-34,ENGINEERING OR MANUFACTURING,Software Engineer,165000,25000,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,Master'S Degree,Man
25-34,COMPUTING OR TECH,Software Engineer,85000,2500,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,1 year or less,Master'S Degree,Man
35-44,COMPUTING OR TECH,Software Engineer,162000,225000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,Master'S Degree,Man
25-34,COMPUTING OR TECH,Software Engineer III,122000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,College Degree,Man
35-44,COMPUTING OR TECH,Software Engineer IV,135000,15000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Man
25-34,COMPUTING OR TECH,Software Engineering Instructor,70000,8000,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,1 year or less,PH.D.,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Special Education Teacher,57000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,NONPROFITS,Supervisor,54080,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,MEDIA & DIGITAL,Support Tech Lead,100000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,Master'S Degree,Non-binary
45-54,COMPUTING OR TECH,Systems Engineer,90000,5000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Man
25-34,OIL & GAS,Tax Specialist,80000,20000,USD,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College Degree,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Teacher,59000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Teacher,35000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,Master'S Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Teaching Fellow,26000,0,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,2 - 4 years,Master'S Degree,Woman
25-34,SALES,Technical Sales Rep,100000,15000,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,Master'S Degree,Woman
35-44,LOW-VOLTAGE EQUIPMENT,Technician,45000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Man
25-34,RETAIL,Technology Specialist,45000,1000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,SOCIAL WORK,Therapist,44500,0,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,Master'S Degree,Woman
25-34,HEALTH CARE,Therapist,60000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,Master'S Degree,Woman
35-44,HEALTH CARE,Trainer/Quality Assurance,48000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,BUSINESS OR CONSULTING,Vice President,130000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,Master'S Degree,Woman
55-64,COMPUTING OR TECH,Vice President Engineering,150000,10000,USD,NA,United States,Pennsylvania,Pittsburgh,31 - 40 years,31 - 40 years,College Degree,Man
35-44,COMPUTING OR TECH,Web Developer,88000,500,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College Degree,Man
35-44,ENGINEERING OR MANUFACTURING,Accountant,70000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,21 - 30 years,1 year or less,College Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Accounting Manager,90000,18000,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Administrative Assistant,44000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Some College,Woman
35-44,INSURANCE,Administrator,70000,0,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,College Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Analyst,94000,6000,USD,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,8 - 10 years,Master'S Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),"Assistant Director, Student Services",48500,2000,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,2 - 4 years,Master'S Degree,Woman
18-24,BUSINESS OR CONSULTING,Associate Consultant,50000,0,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,NONPROFITS,Associate Director Of Contracting Services,92000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,8 - 10 years,"Professional Degree (MD, Jd, Etc.)",Woman
35-44,NONPROFITS,Chief Of Staff,100000,20000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Man
35-44,UTILITIES & TELECOMMUNICATIONS,Compliance Specialist,118500,30000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Some College,Man
35-44,COMPUTING OR TECH,Coordinator,32000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,2 - 4 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Coordinator,32000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,2 - 4 years,Master'S Degree,Woman
35-44,TRANSPORT OR LOGISTICS,Counsel,130000,10000,USD,NA,United States,Pennsylvania,Pittsburgh,21 - 30 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Credit And Collections Supervisor,65000,1000,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Curriculum Designer,104000,5000,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,PH.D.,Woman
25-34,COMPUTING OR TECH,Data Analyst,70000,0,USD,NA,United States,Pennsylvania,Pittsburgh,5-7 years,2 - 4 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,DevOps Manager,120000,18000,USD,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College Degree,Man
25-34,COMPUTING OR TECH,Director Of B2B Marketing,135000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,2 - 4 years,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Director of Executive Communications,154000,30000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master'S Degree,Woman
