Highest_Education,Average_Salary,Minimum_Salary,Maximum_Salary
"College Degree",78879.7315,0,193200
"High School",65419.3093,0,190000
"Master'S Degree",83273.8988,0,193000
PH.D.,95143.1717,0,193000
"Professional Degree (MD, Jd, Etc.)",104351.8982,0,193000
"Some College",68626.5752,0,193000
